tweet_id,tweet_text
1821693758536098074,"@ReyZach_ @thebookbd couldn’t even imagine the olympic fees, nvm the fees that lead up to that point. there’s a lot more athletes taking advantage of that free healthcare in the village than we think. like it or not NL is the publicity t&amp;f needs 🤷🏾‍♀️ my whole timeline has been t&amp;f &amp; i’m so happy"
1821717265202499880,"I just find that really disrespectful.   Like they're now five-time (consecutive) Olympic medalists, and you can't even dedicate 10 minutes to them?  how many americans care about the chinese divers? womens volleyball is the most participated youth sport in the country."
1821766405177405717,"""@TheTennisLetter And Paolini is fully Italian? Why do people invoke the immigrant card whenever a player makes a decision for themselves and their careers? It's not like playing the Olympics with an injury shows you truly """"Italian""""."""
1821786856436232271,@daw3110 @Bubblebathgirl @MattWalshBlog Is it to much to ask for am Olympic opening that doesn't attack a major religion? I just don't see how blasphemy and making Christians and Muslims feel unwelcome is essential for the Olympics
1821838350761783758,Olympic bronze medalist Nyjah Huston calls out the quality of the Paris Olympics medals after his bronze medal began DETERIORATING. 🥉  “They’re apparently not as high quality as you’d think…The medals looking like it went to war and back.” https://t.co/zqogSYJExm
1821864845009985625,"Canada's total medal count sits at 22. National record for a non-boycott Olympics is 24.    Canada should smash that mark. By my count, there is a legit possibility of *at least* five more podiums at Paris 2024.    Four could be gold (beach v-ball, shot put, 800m, Phil Wizard)."
1821944618176393411,"🇨🇵 Morhad Amdouni est forfait pour l’épreuve du marathon masculin des Jeux Olympiques suite à une blessure au mollet droit survenue ce matin lors de son dernier entraînement.  L’athlète a passé une échographie qui a confirmé un décollement inter-aponévrotique.  🇨🇵 Hassan Chahdi, sélectionné en tant que remplaçant, sera au départ du marathon masculin samedi matin.  #Paris2024"
1821996935475089709,North Indians from Haryana and Punjab pretty much carried India in Olympics    What’s happening in “rich” southern states?  South Indians too busy in protesting against Hindi or watching stupid southern movies?   Food for thought
1822173901050261894,"I’m backing Raygun. Sure she’s a bit woke - but she’s individual and unique.  She tried something in the face of convention, she’s proud to wear her Australian tracksuit, and, ironically, she’ll probably be the most famous and iconic thing about the whole Olympics.   She’s taken some risks to incorporate references to Australia.  And, at the end of the day, she totally went punk on the whole break dancing competition.  I’m proud of her.  Keep going, Raygun. Do what you want and damn the critics."
1822246369920180603,"'You belong in a gas chamber...'  These are the types of messages Olympic Gold Medalist Amit Elor now receives.  The 20-year-old American-Israeli wrestling champion, also has a champion response to all of those courageous people hiding behind their screens. https://t.co/vHE2TdIyMp"
1822323623505559772,"@brunopdnreal79 @msir4x4 @apropriajulia 2 facts about Olympic boxer Lin Yu-Ting:  1.  The IOC has confirmed that Lin fully complies with 2024 Olympics participation rules.  2.  The IBA, which questioned Lin’s eligibility, was suspended in 2019 due to corruption scandals and is not recognized by the IOC or CAS."
1822363629762875403,"🚨Second biological male Lin Yu-ting  won gold medal in female boxing !!! 🤯  Lin Yu-ting defeated Polish 20-year-old Julia Szeremeta @szeremeta03 and wins the gold medal in the women’s featherweight 57kg division.   Lin Yu-ting failed a sex test at the World Championship under IBA in 2023 but was approved to fight at the Olympics.  This follows Imane Khalif who gold in a different heavier division but also failed gender tests in 2023.  #Paris2024   Source: Visegrad, Al Jazeera"
1822381953678807371,"The biology is intact here. Lin Yu-Ting was born female. In her years of professional boxing career, she has complied with all applicable medical regulations set by various  organizations that host the competitions. Only the IBA issued a controversial ineligibility but up till now, the IBA has not provided any evidence to back their accusations. Their tests were deemed flawed and illegitimate by the IOC."
1822402406786752853,@XONATION I find it strange that people find this an own. He came to the olympics to find out if he was the best. He was willing to put it on the line no matter the outcome. Most sports have a clear winner. Sharing gold seems cute but also denies athletes their win in a way.
1822435863361429679,"-Xavi hizo debutar a Lamine: Lamine fue clave en la Eurocopa de España. -Xavi hizo debutar a Cubarsi y Fermim: Ambos fueron claves en los juegos Olímpicos.  ¿Se puede decir que gracias a Xavi, España tiene una Eurocopa y una medalla de Oro?"
1822507946938609731,@BeijingDai Its hard not to notice that USA (and Australia too) only dominate in 2 sports: swimming and athletics. Both sports rely heavily on individual physical performance which can easily be enhanced through drug use. I am very sure that’s what’s happening!
1822519699235631156,@_mismoh_ No I don’t but that’s my point.they were racists and they are going to hell for it. But to say the medal was given to Ana as it was in the beginning bc of racism is simply not true. It’s bc the judges violated rules in the gymnastics rule book. GIRL BYE.
1822611582746235136,"#Opinion: The #Paris2024Olympics will come to an end, but the game surrounding the global doping control mechanism may have only just begun. We will see in future events whether testing frequencies will be fair across all countries and if the double standards and shameless practices of USADA will be seriously addressed, especially in the Los Angeles Olympic Games. https://t.co/5G5skih1rp"
